code,user,repo,branch,stars,description
datopian-ckanext-querytool,datopian,ckanext-querytool,master,11,:mag: :bar_chart: :earth_asia: CKAN extension that will provide data querying and story sharing with pre configured set of rules :newspaper: :clipboard:
datadotworld-ckanext-datadotworld,datadotworld,ckanext-datadotworld,master,11,CKAN extension for data.world
okfn-ckanext-example,okfn,ckanext-example,master,11,CKAN Extension that demonstrates some common patterns for customising a CKAN instance.
SENATICS-ckanext-opendatagovpy,SENATICS,ckanext-opendatagovpy,master,11,Datos Abiertos de Gobierno del Paraguay
okfn-ckanext-datahub,okfn,ckanext-datahub,master,11,Plugin for datahub
liip-ckanext-ddi,liip,ckanext-ddi,master,10,"CKAN extension for DDI, developed for the World Bank"
cphsolutionslab-ckanext-dataproxy,cphsolutionslab,ckanext-dataproxy,master,10,Use foreign data wrappers as source for the datastore in CKAN
datacats-ckanext-featuredviews,datacats,ckanext-featuredviews,master,10,Display CKAN resource views on dataset and home pages
okfn-ckanext-unhcr,okfn,ckanext-unhcr,master,10,CKAN extension for the UNHCR RIDL project
kata-csc-ckanext-oaipmh,kata-csc,ckanext-oaipmh,master,10,OAI PMH extension to CKAN
IATI-ckanext-iati,IATI,ckanext-iati,master,10,CKAN extension for the IATI Registry
keitaroinc-ckanext-saml2auth,keitaroinc,ckanext-saml2auth,main,10,CKAN extension to enable Single Sign-On (SSO) for CKAN data portals via SAML2 Authentication.
datopian-ckanext-developerpage,datopian,ckanext-developerpage,master,10,CKAN extension to display useful and important system information for portal maintenance and development
alantygel-ckanext-tagmanager,alantygel,ckanext-tagmanager,master,10,Tag management for CKAN
datagovuk-ckanext-ga-report,datagovuk,ckanext-ga-report,master,9,"For creating detailed reports of CKAN analytics, sliced by group"
open-data-ckanext-wet-boew,open-data,ckanext-wet-boew,master,9,CKAN extension for the Web Experience Toolkit
ckan-ckanext-apihelper,ckan,ckanext-apihelper,master,9,API Helper extension.
DanePubliczneGovPl-ckanext-danepubliczne,DanePubliczneGovPl,ckanext-danepubliczne,develop,9,Layout and custom fields for DanePubliczne.gov.pl
geosolutions-it-ckanext-geonetwork,geosolutions-it,ckanext-geonetwork,master,9,GeoNetwork harvester for CKAN
