code,user,repo,branch,stars,description
zbw-ckanext-dara,zbw,ckanext-dara,master,2,CKAN extension that integrates da|ra metadata schema and enables DOI registration for research data
cphsolutionslab-ckanext-customuserprivileges,cphsolutionslab,ckanext-customuserprivileges,master,2,
nhsengland-ckanext-introjs,nhsengland,ckanext-introjs,master,2,Adds intro.js to CKAN so users can follow a guided tour of the UI.
okfn-ckanext-facetcollapse,okfn,ckanext-facetcollapse,master,2,
UCSUR-Pitt-ckanext-wprdctheme,UCSUR-Pitt,ckanext-wprdctheme,master,2,This is an extension to CKAN that provides a custom theme for the Western Pennsylvania Regional Data Center. 
ckan-ckanext-eurovoc,ckan,ckanext-eurovoc,master,2,Add Eurovoc categories to CKAN's dataset schema
openclimatefix-ckanext-openenergy,openclimatefix,ckanext-openenergy,master,2,Special customisations for the Energy Data Search.
okfn-ckanext-follower,okfn,ckanext-follower,master,2,CKAN Follower Extension
datopian-ckanext-opendataje,datopian,ckanext-opendataje,master,2,
datopian-ckanext-inverness,datopian,ckanext-inverness,master,2,Theming extension for Inverness city
ciudadanointeligente-ckanext-junar,ciudadanointeligente,ckanext-junar,master,2,Connector for ckan to use junar.com
datopian-ckanext-viderum,datopian,ckanext-viderum,master,2,Viderum default extension for CKAN
depositar-ckanext-wikidatakeyword,depositar,ckanext-wikidatakeyword,master,2,Wikidata-powered keyword field for CKAN
etri-odp-ckanext-jena,etri-odp,ckanext-jena,master,2,Semantic data management extension with Apache Jena for CKAN
berlinonline-ckanext-berlin,berlinonline,ckanext-berlin,master,2,CKAN extension for the datenregister.berlin.de portal
okfn-ckanext-stats,okfn,ckanext-stats,master,2,
okfn-ckanext-social,okfn,ckanext-social,master,2,
camptocamp-ckanext-theme,camptocamp,ckanext-theme,geo2france,2,CKAN theme for geOrchestra SDIs
berlinonline-ckanext-fisbroker,berlinonline,ckanext-fisbroker,master,2,CKAN Plugin to harvest Berlin's FIS-Broker geographic information system into the datenregister.berlin.de schema.
datopian-ckanext-montrose,datopian,ckanext-montrose,master,2,
okfn-ckanext-dgutheme,okfn,ckanext-dgutheme,master,2,
fraunhoferfokus-ckanext-berlin,fraunhoferfokus,ckanext-berlin,master,2,
berlinonline-ckanext-validationapi,berlinonline,ckanext-validationapi,master,2,A public API for CKAN's validator functions
AURIN-ckanext-aurintheme,AURIN,ckanext-aurintheme,master,2,AURIN theme
thenets-ckanext-dadosabertos,thenets,ckanext-dadosabertos,master,2,Plugin / Tema do Portal de Dados Abertos do Governo Federal - Brasil
reedv-ckanext-publicrestrictiondatasets,reedv,ckanext-publicrestrictiondatasets,main,2,
datopian-ckanext-perth,datopian,ckanext-perth,master,2,Theming extension for Perth city
datopian-ckanext-nokia,datopian,ckanext-nokia,master,2,
ilrt-ckanext-oaipmh,ilrt,ckanext-oaipmh,master,2,OAI PMH extension to CKAN
okfn-ckanext-iceland,okfn,ckanext-iceland,master,2,Icelandic theme for CKAN
boykoc-ckanext-msal,boykoc,ckanext-msal,master,2,
kata-csc-ckanext-rems,kata-csc,ckanext-rems,master,2,REMS extension for CKAN
NextGeoss-ckanext-nextgeoss,NextGeoss,ckanext-nextgeoss,master,2,Theme for NextGEOSS data hub
datopian-ckanext-opnv,datopian,ckanext-opnv,master,2,Extension for German public transport companies' portal.
rossjones-ckanext-statsd,rossjones,ckanext-statsd,master,2,Simple statsd metrics for CKAN
okfn-ckanext-htsql,okfn,ckanext-htsql,master,2,An extension that enables htsql queries for the new datastore.
datopian-ckanext-aridhia,datopian,ckanext-aridhia,master,2,
wardi-ckanext-fileedit,wardi,ckanext-fileedit,master,2,Simple file editor for CKAN admin panel
abgov-ckanext-geomapviewer,abgov,ckanext-geomapviewer,master,2,Ckan Geo Map Viewer Extension
jimmccusker-ckanext-arrayexpress,jimmccusker,ckanext-arrayexpress,master,2,An ArrayExpress importer for CKAN.
cbgaindia-ckanext-budgetviz,cbgaindia,ckanext-budgetviz,master,2,CKAN Extension to preview visualization for datasets 
datopian-ckanext-vrr,datopian,ckanext-vrr,master,2,
shemogumbe-ckanext-dataviewanalytics,shemogumbe,ckanext-dataviewanalytics,master,2,extension for data set visualization statistics
EnviDat-ckanext-passwordless,EnviDat,ckanext-passwordless,master,2,Extension to allow paswordless login in CKAN
okfn-ckanext-moderatededits,okfn,ckanext-moderatededits,master,2,Moderated Edits extension for CKAN 1.4
DataShades-ckanext-githubrepopreview,DataShades,ckanext-githubrepopreview,master,2,A CKAN plugin for previewing GitHub repository resources.
opendatatrentino-ckanext-patstatweb,opendatatrentino,ckanext-patstatweb,master,2,Harvester script to populate CKAN from the server of the statistics department of the Provincia Autonoma di Trento
ciudadanointeligente-ckanext-forms,ciudadanointeligente,ckanext-forms,master,2,Manages dataset forms in ckan
datopian-ckanext-aberdeen,datopian,ckanext-aberdeen,master,2,Theming extension for Aberdeen city.
ciudadanointeligente-ckanext-forms,ciudadanointeligente,ckanext-forms,master,2,Manages dataset forms in ckan
okfn-ckanext-moderatededits,okfn,ckanext-moderatededits,master,2,Moderated Edits extension for CKAN 1.4
DataShades-ckanext-githubrepopreview,DataShades,ckanext-githubrepopreview,master,2,A CKAN plugin for previewing GitHub repository resources.
datopian-ckanext-aberdeen,datopian,ckanext-aberdeen,master,2,Theming extension for Aberdeen city.
Psykar-ckanext-ands,Psykar,ckanext-ands,master,2,
openspending-ckanext-budgets,openspending,ckanext-budgets,master,2,Budget Data Package support for CKAN
rossjones-ckanext-pubsub,rossjones,ckanext-pubsub,master,2,WIP: Instant notifications for datasets.
geosolutions-it-ckanext-mapstore,geosolutions-it,ckanext-mapstore,master,2,CKAN Extension for MapStore Preview and GeoStore Harvesting
datopian-ckanext-vag,datopian,ckanext-vag,master,2,
data-govt-nz-ckanext-dia,data-govt-nz,ckanext-dia,master,2,A simple CKAN extension to hold all overrides to CKAN required by the DIA (Department of Internal Affairs).
NextGeoss-ckanext-nextgeossharvest,NextGeoss,ckanext-nextgeossharvest,master,2,Harvesters for NextGEOSS
conwetlab-ckanext-datastore_restful,conwetlab,ckanext-datastore_restful,master,2,Extension that provides a fully Restful API to access the data contained in the DataStore. 
datopian-ckanext-asset-storage,datopian,ckanext-asset-storage,master,2,CKAN extension implementing IUploader interface for cloud storage of assets e.g. images. Intended for use with ckanext-blob-storage that provides direct to cloud storage of resource data.
DCOR-dev-ckanext-dc_view,DCOR-dev,ckanext-dc_view,master,2,Preview DC data in DCOR
DataShades-ckanext-create_typed_package,DataShades,ckanext-create_typed_package,master,2,
EnviDat-ckanext-package_converter,EnviDat,ckanext-package_converter,master,2,CKAN Extension for converting metadata
opendatazurich-ckanext-stadtzh-harvest,opendatazurich,ckanext-stadtzh-harvest,master,2,Harvester extension for the City of Zurich
datopian-ckanext-saasportal_quote,datopian,ckanext-saasportal_quote,master,2,
conwetlab-ckanext-fiware_header,conwetlab,ckanext-fiware_header,master,2,
CSIRO-enviro-informatics-ckanext-user_ext,CSIRO-enviro-informatics,ckanext-user_ext,master,2,
NaturalHistoryMuseum-ckanext-contact,NaturalHistoryMuseum,ckanext-contact,main,1,A CKAN extension for adding popup contact forms to pages.
etalab-ckanext-sentry,etalab,ckanext-sentry,master,1,Sentry support for CKAN
DataShades-ckanext-workflow,DataShades,ckanext-workflow,master,1,
telefonicaid-ckanext-ngsiview,telefonicaid,ckanext-ngsiview,master,1,ckanext-ngsiview
opintel-ckanext-mxtheme,opintel,ckanext-mxtheme,master,1,Template CKAN para datos.gob.mx
kata-csc-ckanext-sitemap,kata-csc,ckanext-sitemap,master,1,Sitemap search engine support for CKAN
jesusredondo-ckanext-federgob,jesusredondo,ckanext-federgob,master,1,"Extension to ease the federation process of CKAN catalogs with the global catalog of Spain, [Datos.gob](http://www.datos.gob.es/)."
aptivate-ckanext-userautoadd,aptivate,ckanext-userautoadd,master,1,CKAN extension to add new users to an existing organization
datagovuk-ckanext-certificates,datagovuk,ckanext-certificates,master,1,Retrieval and helpers for ODI Open Data certificates
abgov-ckanext-open_alberta,abgov,ckanext-open_alberta,master,1,Ckan extension developed for use on open.alberta.ca
opendatatrentino-ckanext-datitrentinoit,opendatatrentino,ckanext-datitrentinoit,master,1,Ckan customizations for OpenData Trentino
GSA-ckanext-googleanalyticsbasic,GSA,ckanext-googleanalyticsbasic,main,1,Basic ckan extension to add google analytics tracking code in page header
wardi-ckanext-geocodejob,wardi,ckanext-geocodejob,master,1,
ngds-ckanext-metadata-bku03232018,ngds,ckanext-metadata-bku03232018,master,1,
cityofsurrey-ckanext-surrey,cityofsurrey,ckanext-surrey,master,1,CKAN extension for city of surrey
CodeForAfrica-ckanext-socialite,CodeForAfrica,ckanext-socialite,develop,1,"[EXPERIMENTAL] A CKAN extension to allow login using Google, Facebook, Twitter or Github."
EUDAT-B2FIND-ckanext-timeline,EUDAT-B2FIND,ckanext-timeline,master,1,Timeline extension for CKAN
ViderumGlobal-ckanext-ed,ViderumGlobal,ckanext-ed,master,1,Codebase for Dept of Ed Open Data Project
maulikkamdar-ckanext-feedback,maulikkamdar,ckanext-feedback,master,1,This extension provides a simple feedback form for submitting data requests through the CKAN System.
XVTSolutions-ckanext-extend_search,XVTSolutions,ckanext-extend_search,master,1,Extends Ckan's search with additional options
ngds-ckanext-mapsearch-bku03232018,ngds,ckanext-mapsearch-bku03232018,master,1,
ozwillo-ckanext-ozwillo-theme,ozwillo,ckanext-ozwillo-theme,master,1,Ozwillo theme for the CKAN platform
govro-ckanext-romania_theme,govro,ckanext-romania_theme,master,1,
gfenoy-ckanext-wps,gfenoy,ckanext-wps,master,1,CKAN extension for accessing OGC WPS capabilties
bcgov-ckanext-sso,bcgov,ckanext-sso,dev,1,OpenID connect plugin for CKAN used by the B.C. Catalogue.
okfn-ckanext-sa,okfn,ckanext-sa,master,1,Custom CKAN extension for data.sa.gov.au
Helsingin-kaupungin-tietokeskus-ckanext-multiedit,Helsingin-kaupungin-tietokeskus,ckanext-multiedit,master,1,Multiedit extension for CKAN
Cadasta-ckanext-project,Cadasta,ckanext-project,master,1,[DEPRECATED] Implementation of the CKAN prototype for the Cadasta platform
DEFRA-ckanext-defra,DEFRA,ckanext-defra,master,1,CKAN extension for Defra data metadata catalogue
DataShades-ckanext-acl,DataShades,ckanext-acl,master,1,CKAN extension to manage permissions of individual CKAN users
qld-gov-au-ckanext-data-qld,qld-gov-au,ckanext-data-qld,develop,1,Queensland Government Open Data extension
ngds-ckanext-ogcpreview-bku03232018,ngds,ckanext-ogcpreview-bku03232018,master,1,
abgov-ckanext-ab_scheming,abgov,ckanext-ab_scheming,master,1,Dataset scheming extension used on open.alberta.ca
datagovuk-ckanext-dgu-local,datagovuk,ckanext-dgu-local,master,1,Support for harvesting from Local Authorities
okfn-ckanext-sgdata,okfn,ckanext-sgdata,master,1,A CKAN extension for the Singapore Ministry of Finance's metadata catalog.
zbw-ckanext-edawax,zbw,ckanext-edawax,master,1,CKAN extension for ZBW Journal Data Archive
open-data-ckanext-history,open-data,ckanext-history,master,1,Improved history tab for CKAN
NaturalHistoryMuseum-ckanext-feedback,NaturalHistoryMuseum,ckanext-feedback,master,1,Feedback extension for CKAN
DataShades-ckanext-excelimport,DataShades,ckanext-excelimport,master,1,CKAN extension for creating/updating datasets via a zip file containing an excel metadata template
milicp-ckanext-semre,milicp,ckanext-semre,master,1,CKAN extension for RDF description of dataset relationships
datacats-ckanext-ottawa,datacats,ckanext-ottawa,master,1,v2
CodeandoMexico-ckanext-openrefine,CodeandoMexico,ckanext-openrefine,master,1,CKAN Extension for adding Open Refine analysis into your dataset resources. 
jonlazaro-ckanext-sparql,jonlazaro,ckanext-sparql,master,1,
TIBHannover-ckanext-dwgviewer,TIBHannover,ckanext-dwgviewer,master,1,A drawing (AutoCAD) file viewer for ckan
mmoyles87-ckanext-oauth2provider,mmoyles87,ckanext-oauth2provider,master,1,Allows other applications to login to a ckan instance using OAuth2
CSIRO-enviro-informatics-ckanext-user_opt_in,CSIRO-enviro-informatics,ckanext-user_opt_in,master,1,
depositar-ckanext-data-depositario,depositar,ckanext-data-depositario,master,1,CKAN extension for depositar
geosolutions-it-ckanext-azure-auth,geosolutions-it,ckanext-azure-auth,main,1,
dadosgovbr-ckanext-dadosgovbr-2014,dadosgovbr,ckanext-dadosgovbr-2014,master,1,"Tema para o CKAN utilizado no portal dados.gov.br, na versão implantada em 2014, com CKAN 2.2."
opendatazurich-ckanext-stadtzh-theme,opendatazurich,ckanext-stadtzh-theme,master,1,CKAN theme for the City of Zurich
salzburgerland-ckanext-salzburgerland_tourismus_theme,salzburgerland,ckanext-salzburgerland_tourismus_theme,master,1,Salzburgerland Tourismus CKAN theme
dpp-dev-ckanext-latvian-theme,dpp-dev,ckanext-latvian-theme,master,1,
alabs-ckanext-carchi_theme,alabs,ckanext-carchi_theme,master,1,Theme para el CKAN del GAD del Carchi
data-govt-nz-ckanext-protected_resources,data-govt-nz,ckanext-protected_resources,master,1,A plugin for CKAN that enables a system administrator to protect dataset resources from accidental deletion
OpenUpSA-ckanext-discourse-sso,OpenUpSA,ckanext-discourse-sso,master,1,Discourse SSO with CKAN as the user authority
Hoedic-ckanext-recaptcha,Hoedic,ckanext-recaptcha,master,1,Correct the bug for the missing recaptcha widget at registration
opennorth-ckanext-whiterock,opennorth,ckanext-whiterock,master,1,CKAN extension for City of White Rock
okfn-ckanext-hideorganizations,okfn,ckanext-hideorganizations,master,1,A CKAN 2 extension that removes CKAN's organizations feature
ccca-dc-ckanext-thredds,ccca-dc,ckanext-thredds,master,1,
datagovuk-ckanext-schemadotorg,datagovuk,ckanext-schemadotorg,master,1,
datopian-ckanext-zip,datopian,ckanext-zip,master,1,Add an option to download resource file in a zip format
vrk-kpa-ckanext-matomo,vrk-kpa,ckanext-matomo,main,1,
cphsolutionslab-ckanext-cphopendata,cphsolutionslab,ckanext-cphopendata,master,1,Theme for cph.opendata.dk
okfn-ckanext-singapore,okfn,ckanext-singapore,master,1,
CodeForAfrica-ckanext-followy,CodeForAfrica,ckanext-followy,master,1,[ARCHIVED] A CKAN extension to show the datasets a user is following.
ngds-ckanext-geoserver,ngds,ckanext-geoserver,master,1,
SAERI-Datacenter-ckanext-saerischema,SAERI-Datacenter,ckanext-saerischema,master,1,CKAN metadata schema for SAERI
hwaring-ckanext-licenses,hwaring,ckanext-licenses,master,1,allows you to add your own licenses
gzarrub-ckanext-ngsipreview,gzarrub,ckanext-ngsipreview,master,1,
okfn-ckanext-recline,okfn,ckanext-recline,master,1,[Obsolete?] A CKAN preview extension to preview tabular data using recline
datopian-ckanext-nav,datopian,ckanext-nav,master,1,CKAN Extension for customization of NAV portal 
etri-odp-ckanext-hdfs,etri-odp,ckanext-hdfs,master,1,HDFS storing extension for CKAN
GovDataOfficial-ckanext-searchindexhook,GovDataOfficial,ckanext-searchindexhook,master,1,CKAN extension to synchronize CKAN data with an elasticsearch search index
okfn-ckanext-hampshire,okfn,ckanext-hampshire,master,1,Extension for hampshire
okfn-ckanext-kenya,okfn,ckanext-kenya,master,1,
jimmccusker-ckanext-datapub,jimmccusker,ckanext-datapub,master,1,
Chealer-ckanext-categroupy,Chealer,ckanext-categroupy,master,1,Plugin to rename CKAN's dataset groups
keitaroinc-ckanext-resourcedictionary,keitaroinc,ckanext-resourcedictionary,main,1,CKAN extension that extends the default CKAN Data Dictionary functionality by adding the possibility to create a data dictionary before actual data is uploaded to datastore.
deniszgonjanin-ckanext-geojsonview,deniszgonjanin,ckanext-geojsonview,master,1,A simple GeoJSON Resource View for CKAN 2.3+
Helsingin-kaupungin-tietokeskus-ckanext-comments,Helsingin-kaupungin-tietokeskus,ckanext-comments,master,1,A plugin for enabling commenting on CKAN by proxying them to and from WordPress through XML-RPC API.
ConocimientoAbierto-ckanext-evaluator,ConocimientoAbierto,ckanext-evaluator,master,1,
NaturalHistoryMuseum-ckanext-statistics,NaturalHistoryMuseum,ckanext-statistics,main,1,A CKAN extension for accessing download statistics
okfn-ckanext-webhooks,okfn,ckanext-webhooks,master,1,
kindly-ckanext-spatial,kindly,ckanext-spatial,master,1,
fumi-ckanext-mimetypes,fumi,ckanext-mimetypes,master,1,Custom mimetypes extension
XVTSolutions-ckanext-vdojtheme,XVTSolutions,ckanext-vdojtheme,master,1,
openspending-ckanext-openspending,openspending,ckanext-openspending,master,1,CKAN OpenSpending integration extension
keitaroinc-ckanext-purge,keitaroinc,ckanext-purge,master,1,
data-govt-nz-ckanext-raygun,data-govt-nz,ckanext-raygun,master,1,Raygun application monitoring of CKAN
lightbase-ckanext-datadaemon,lightbase,ckanext-datadaemon,master,1,Ckan based datadaemon that loads an RDF and store it as a resource
ckan-ckanext-widgets,ckan,ckanext-widgets,master,1,helper widgets to help render atom/rss feeds for CKAN themes
okfn-ckanext-nsw,okfn,ckanext-nsw,master,1,
tolletaten-ckanext-tolltheme,tolletaten,ckanext-tolltheme,master,1,
aptivate-ckanext-countrygroup,aptivate,ckanext-countrygroup,master,1,CKAN plugin for grouping datasets into countries. Forked from https://github.com/OCHA-DAP/hdx-ckan
openresearchdata-ckanext-openbis,openresearchdata,ckanext-openbis,master,1,OpenBis harvester based on ckanext-oaipmh
XVTSolutions-ckanext-reorder,XVTSolutions,ckanext-reorder,master,1,Allows dataset editors to reorder the positioning of resources.
damalaga-ckanext-federador,damalaga,ckanext-federador,master,1,Federación de portal CKAN en datos.gob.es
dadosgovbr-ckanext-dadosgovbrschema,dadosgovbr,ckanext-dadosgovbrschema,master,1,"Implementation of a schema, using the ckanext-schema extension, for the Brazilian Open Data Portal."
opendatatrentino-ckanext-sentry,opendatatrentino,ckanext-sentry,master,1,Hooks the Sentry's raven plugin into ckan/pylons wsgi middleware chain.
datopian-ckanext-meerbusch,datopian,ckanext-meerbusch,master,1,
ngds-ckanext-spatial,ngds,ckanext-spatial,master,1,
georchestra-ckanext-georchestra,georchestra,ckanext-georchestra,master,1,geOrchestra extension for CKAN
datopian-ckanext-gdpr,datopian,ckanext-gdpr,master,1,CKAN extension for GDPR
SAERI-Datacenter-ckanext-saeritheme,SAERI-Datacenter,ckanext-saeritheme,master,1,Add a theme to CKAN specifically for SAERI
ngds-ckanext-ngds,ngds,ckanext-ngds,master,1,
wardi-ckanext-aiglobal,wardi,ckanext-aiglobal,master,1,CKAN Theme extension for portal.ai-global.org
datopian-ckanext-duplicateresource,datopian,ckanext-duplicateresource,master,1,A CKAN extension to copy an existing resource metadata for another resource
datagovau-ckanext-datajson,datagovau,ckanext-datajson,master,1,ckanext-datajson customised for Australian metadata profile
iotaorg-ckanext-iota,iotaorg,ckanext-iota,master,1,CKAN extension for the IOTA
okfn-ckanext-pakistan,okfn,ckanext-pakistan,master,1,Pakistan Data Portal
PublicaMundi-ckanext-helloworld,PublicaMundi,ckanext-helloworld,master,1,An helloworld CKAN plugin that demonstrates how to extend metadata schema with a couple of new fields
okfn-ckanext-queue,okfn,ckanext-queue,master,1,Async queueing for CKAN.
Honlan-ckanext-mytheme,Honlan,ckanext-mytheme,master,1,This is the theming extension for OmniCkan for outlook improvements
OpenGov-OpenData-ckanext-datasetpermissioning,OpenGov-OpenData,ckanext-datasetpermissioning,master,1,
derilinx-ckanext-losd,derilinx,ckanext-losd,master,1,
davidread-ckanext-analytics,davidread,ckanext-analytics,master,1,For analysing CKAN usage
aptivate-ckanext-locationgroup,aptivate,ckanext-locationgroup,country-pages-dev,1,CKAN plugin for grouping datasets into countries. Forked from https://github.com/aptivate/ckanext-mapactionevent
ThrawnCA-ckanext-qgov,ThrawnCA,ckanext-qgov,master,1,Customisations to the CKAN portal for Queensland Government websites
NaturalHistoryMuseum-ckanext-video,NaturalHistoryMuseum,ckanext-video,main,1,A CKAN extension for embedding Youtube or Vimeo videos as views.
taijiang-tw-ckanext-taijiang,taijiang-tw,ckanext-taijiang,master,1,CKAN extension for the Taijiang Research Data Repository
BioplatformsAustralia-ckanext-bulk,BioplatformsAustralia,ckanext-bulk,master,1,"Easy bulk access to CKAN datasets, on Windows, MacOS and Linux"
canhdc-ckanext-library,canhdc,ckanext-library,master,1,
datopian-ckanext-stirling,datopian,ckanext-stirling,master,1,Theming extension for Stirling city
geoenvo-ckanext-onedataportal,geoenvo,ckanext-onedataportal,master,1,
cuprit-gbr-ckanext-cuprit,cuprit-gbr,ckanext-cuprit,main,1,
PublicaMundi-ckanext-interlinking,PublicaMundi,ckanext-interlinking,master,1,A CKAN extension that allows resource interlinking using recline.
UoA-eResearch-ckanext-ezid,UoA-eResearch,ckanext-ezid,master,1,EZID external ID provider for the ckanext-external_id plugin
vaquer-ckanext-mxtheme,vaquer,ckanext-mxtheme,master,1,Template para el sitio datos.gob.mx
okfn-ckanext-salford,okfn,ckanext-salford,master,1,Repo for Salford's CKAN instance
dpp-dev-ckanext-datapackager,dpp-dev,ckanext-datapackager,master,1,
6aika-ckanext-collection,6aika,ckanext-collection,master,1,
DataShades-ckanext-charts,DataShades,ckanext-charts,master,1,
metaodi-ckanext-graphql,metaodi,ckanext-graphql,master,1,GraphQL for CKAN
DataSpace-Mobility-ckanext-dataspace,DataSpace-Mobility,ckanext-dataspace,master,1,
open-data-ckanext-extendedactivity,open-data,ckanext-extendedactivity,master,1,Extended activity feeds to include items such as membership changes.
opendatamonitor-ckanext-harvestodm,opendatamonitor,ckanext-harvestodm,master,1,
friendlycode-ckanext-datagr,friendlycode,ckanext-datagr,master,1,CKAN extension for data.grcity.us customizations
okfn-ckanext-aerc,okfn,ckanext-aerc,master,1,AERC demo plugin
NaturalHistoryMuseum-ckanext-sketchfab,NaturalHistoryMuseum,ckanext-sketchfab,main,1,A CKAN extension for embedding Sketchfab models as views.
908Inc-ckanext-apps,908Inc,ckanext-apps,master,1,
abgov-ckanext-classification,abgov,ckanext-classification,master,1,
vulekamali-ckanext-satreasury,vulekamali,ckanext-satreasury,master,1,SA Treasury CKAN theme extension
fwoerister-ckanext-mongodatastore,fwoerister,ckanext-mongodatastore,master,1,A datastore backend implementation for CKAN that supports data citation.
Nithyavasudevan-ckanext-glasgow,Nithyavasudevan,ckanext-glasgow,master,1,CKAN Extensions specific to Open Glasgow
ElixirTeSS-ckanext-tess,ElixirTeSS,ckanext-tess,master,1,CKAN extension for TeSS training portal
ogdch-ckanext-transharvest,ogdch,ckanext-transharvest,develop,1,Harvester for term_translations
okfn-ckanext-colombia,okfn,ckanext-colombia,master,1,
DataShades-ckanext-message,DataShades,ckanext-message,master,1,
jahow-ckanext-georchestra,jahow,ckanext-georchestra,master,1,CKAN integration in geOrchestra
TIBHannover-ckanext-videoviewer,TIBHannover,ckanext-videoviewer,master,1,A video Viewer extension for ckan
TIBHannover-ckanext-semtag,TIBHannover,ckanext-semtag,master,1,Semantic Tags extension for CKAN
fjelltopp-ckanext-emailasusername,fjelltopp,ckanext-emailasusername,development,1,CKAN extension allowing users to login and reset passwords with their email as well as their username.
eradan-ckanext-toscana-harvest,eradan,ckanext-toscana-harvest,master,1,Harvester per Regione Toscana
routetopa-ckanext_rtpa_anomaly_detection,routetopa,ckanext_rtpa_anomaly_detection,master,1,ROUTE-TO-PA extension - adds TET functionality to CKAN platform - anomaly detection
tum-gis-ckanext-relation-sddi,tum-gis,ckanext-relation-sddi,master,1,
Quatral-ckanext-contact_us,Quatral,ckanext-contact_us,master,1,CKAN Extension for a contact us form
OpenDevelopmentMekong-ckanext-odm_dataset,OpenDevelopmentMekong,ckanext-odm_dataset,master,1,A CKAN extension which provides with template files and logic to implement OD Mekong's datasets
eradan-ckanext-toscana-reports,eradan,ckanext-toscana-reports,master,1,
ckan-ckanext-oauth2waad,ckan,ckanext-oauth2waad,master,1,Login to your CKAN site using Windows Azure Active Directory's OAuth 2.0
knowdive-ckanext-liveschema_theme,knowdive,ckanext-liveschema_theme,master,1,
nmarolleau53-ckanext-pigma_theme,nmarolleau53,ckanext-pigma_theme,master,1,CKAN theme for the PIGMA project
datospy-ckanext-datos_theme,datospy,ckanext-datos_theme,master,1,Tema de ckan para el sitio de datos abiertos (datos.org.py) 
openresearchdata-ckanext-ordbase-theme,openresearchdata,ckanext-ordbase-theme,master,1,CKAN base theme for Open Research Data
avdata99-ckanext-google_drive_import,avdata99,ckanext-google_drive_import,master,1,Goole Drive Sheet import as dataset in CKAN
CivicActions-ckanext-ed-docs,CivicActions,ckanext-ed-docs,main,1,Documentation for the Dept of ED CKAN extension
eawag-rdm-ckanext_eaw_schema,eawag-rdm,ckanext_eaw_schema,master,1,Eawag dataset schema. Builds on ckanext-scheming and ckanext-repeating.
UoA-eResearch-ckanext-external_id,UoA-eResearch,ckanext-external_id,master,1,Support for external identifiers for datasets
derilinx-ckanext-dgi-public,derilinx,ckanext-dgi-public,master,1,Source code of data.gov.ie CKAN extension
EnviDat-ckanext-datacite_publication,EnviDat,ckanext-datacite_publication,master,1,Extension to mint DOIs and publish CKAN datasets in DataCite
datopian-ckanext-dcat_ap_no,datopian,ckanext-dcat_ap_no,master,1,
DataShades-ckanext-resource_indexer,DataShades,ckanext-resource_indexer,master,1,
OpenDataNode-ckanext-storage-admin,OpenDataNode,ckanext-storage-admin,develop,1,
BetaNYC-ckanext-datacity_theme,BetaNYC,ckanext-datacity_theme,master,1,BetaNYC CKAN theme
rostock-ckanext-hro_dcatapde,rostock,ckanext-hro_dcatapde,master,1,"A custom implementation of DCAT-AP.de for OpenData.HRO, the open data portal of the municipality of Rostock"
geological-survey-of-queensland-gsq-ckanext-gsq-theme,geological-survey-of-queensland,gsq-ckanext-gsq-theme,master,1,A CKAN extension styling the Geological Survey of Qld's CKAN instance as per Qld Govt. guidelines
EnviDat-ckanext-oaipmh_repository,EnviDat,ckanext-oaipmh_repository,master,1,Extension for implementing a custom OAI-PMH for CKAN datasets
ExchangeBC-ckanext-wso2-harvester,ExchangeBC,ckanext-wso2-harvester,master,1,A WSO2 harvester for CKAN
XVTSolutions-ckanext-spatialUI,XVTSolutions,ckanext-spatialUI,master,1,
berlinonline-ckanext-dcatde_berlin,berlinonline,ckanext-dcatde_berlin,master,1,Implementation of dcat-ap.de for daten.berlin.de
opendata-swiss-ckanext-switzerland-ng,opendata-swiss,ckanext-switzerland-ng,master,1,
DCOR-dev-ckanext-dcor_theme,DCOR-dev,ckanext-dcor_theme,master,1,The DCOR CKAN theme
rossjones-ckanext-mo-observations,rossjones,ckanext-mo-observations,master,1,Retrieves and stores weather observation data from the Met Office
SpaceApplications-ckanext-obeos-ldp,SpaceApplications,ckanext-obeos-ldp,master,1,OBEOS Linked Data Prototype
salsadigitalauorg-ckanext-invalid-uris,salsadigitalauorg,ckanext-invalid-uris,develop,1,Ckan extension to detect invalid URIs
nextgis-ckanext-fareast_theme,nextgis,ckanext-fareast_theme,master,1,CKAN Primorskiy theme
rostock-ckanext-hro_theme,rostock,ckanext-hro_theme,master,1,"A custom theme for OpenData.HRO, the open data portal of the municipality of Rostock"
ConocimientoAbierto-ckanext-fca_theme,ConocimientoAbierto,ckanext-fca_theme,master,1,
CSIRO-enviro-informatics-ckanext-dcat-rev,CSIRO-enviro-informatics,ckanext-dcat-rev,master,1,
geological-survey-of-queensland-gsq-ckanext-scheming,geological-survey-of-queensland,gsq-ckanext-scheming,master,1,Custom scheme for GSQ CKAN
edincubator-ckanext-edi_theme,edincubator,ckanext-edi_theme,master,1,Theme for EDI project's CKAN
transparenzportalhamburg-ckanext-distributed-harvester,transparenzportalhamburg,ckanext-distributed-harvester,master,1,This extension extends the CKAN plugin ckanext-harvest to support distributed harvesting capabilities.
fumi-ckanext-fake-datagojp,fumi,ckanext-fake-datagojp,master,1,ckan extension for datago.jp which is a mirror site of data.go.jp
keitaroinc-ckanext-mk_dcatap,keitaroinc,ckanext-mk_dcatap,master,1,Macedonian DCAT Profile for CKAN
CSIRO-enviro-informatics-ckanext-csiro_hub_theme,CSIRO-enviro-informatics,ckanext-csiro_hub_theme,master,1,
